s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Bahramcha,1,Z3,29.42026,64.015136,Farah,AF33,32.497557,62.462352,659
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Faryab,AF29,36.054515,64.859923,616
Pul-e-Abrisham (Milak),1,Z8,30.96555,61.823383,Uruzgan,AF25,32.942363,66.132258,612
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Khost,AF14,33.366603,69.830734,600
Angor ada,1,Z2,32.519404,69.272673,Khost,AF14,33.366603,69.830734,550
Torkham – Bab-i-Pakistan,1,Z7,34.122641,71.093202,Nimroz,AF34,30.789339,62.316668,528
Angor ada,1,Z2,32.519404,69.272673,Ghazni,AF11,33.298822,67.811789,518
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Paktya,AF13,33.629195,69.401912,516
Angor ada,1,Z2,32.519404,69.272673,Paktya,AF13,33.629195,69.401912,514
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Baghlan,AF09,35.773178,68.938185,479
Ghulam Khan,1,Z4,34.70799,61.00488,Paktya,AF13,33.629195,69.401912,469
Bahramcha,1,Z3,29.42026,64.015136,Nimroz,AF34,30.789339,62.316668,451
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Farah,AF33,32.497557,62.462352,411
Angor ada,1,Z2,29.42026,64.015136,Wardak,AF04,34.292078,68.20295,387
Ghulam Khan,1,Z4,34.70799,61.00488,Paktika,AF12,32.481676,68.751118,371
Bahramcha,1,Z3,29.42026,64.015136,Herat,AF32,34.059812,61.988025,368
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Khost,AF14,33.366603,69.830734,342
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Kunduz,AF19,36.846189,68.741738,342
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Balkh,AF21,36.671789,67.067123,342
Nazar Posta,1,Z9,30.955879,66.437425,Nuristan,AF16,35.403435,70.806989,325
Bahramcha,1,Z3,33.150936,70.029985,Paktya,AF13,33.629195,69.401912,322
Torkham – Bab-i-Pakistan,1,Z7,30.96555,61.823383,Panjsher,AF08,35.44593,69.794822,297
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Paktya,AF13,33.629195,69.401912,274
Islam Qala - Taybad,1,Z5,30.940568,66.39183,Nimroz,AF34,30.789339,62.316668,274
Angor ada,1,Z2,32.519404,69.272673,Kabul,AF01,34.554066,69.332594,258
